"","gameId","playId","nflId","displayName","frameId","frameType","time","jerseyNumber","club","playDirection","x","y","s","a","dis","o","dir","event"
"1",2022091110,291,40011,"Travis Kelce",69,"BEFORE_SNAP","2022-09-11 20:33:51.1",87,"KC","left",20.22,17.68,0.01,0.01,0.01,316.24,244.94,"line_set"
"2",2022091110,291,40011,"Travis Kelce",70,"BEFORE_SNAP","2022-09-11 20:33:51.2",87,"KC","left",20.22,17.68,0.01,0.01,0,318.26,259.23,NA
"3",2022091110,291,40011,"Travis Kelce",71,"BEFORE_SNAP","2022-09-11 20:33:51.3",87,"KC","left",20.21,17.68,0.01,0.01,0.01,319.37,258.45,NA
"4",2022091110,291,40011,"Travis Kelce",72,"BEFORE_SNAP","2022-09-11 20:33:51.4",87,"KC","left",20.21,17.68,0.01,0.01,0,320.57,266.48,NA
"5",2022091110,291,40011,"Travis Kelce",73,"BEFORE_SNAP","2022-09-11 20:33:51.5",87,"KC","left",20.21,17.69,0.01,0.01,0,322.43,273.63,NA
"6",2022091110,291,40011,"Travis Kelce",74,"BEFORE_SNAP","2022-09-11 20:33:51.6",87,"KC","left",20.2,17.68,0.01,0.01,0.01,322.43,267.37,NA
"7",2022091110,291,40011,"Travis Kelce",75,"BEFORE_SNAP","2022-09-11 20:33:51.7",87,"KC","left",20.19,17.68,0.01,0.01,0.01,323.8,262.79,NA
"8",2022091110,291,40011,"Travis Kelce",76,"BEFORE_SNAP","2022-09-11 20:33:51.8",87,"KC","left",20.19,17.68,0.01,0.01,0,323.8,260.72,NA
"9",2022091110,291,40011,"Travis Kelce",77,"BEFORE_SNAP","2022-09-11 20:33:51.9",87,"KC","left",20.19,17.68,0.01,0.01,0,324.57,260.99,NA
"10",2022091110,291,40011,"Travis Kelce",78,"BEFORE_SNAP","2022-09-11 20:33:52",87,"KC","left",20.18,17.67,0.01,0.01,0,324.57,261.37,NA
"11",2022091110,291,40011,"Travis Kelce",79,"BEFORE_SNAP","2022-09-11 20:33:52.1",87,"KC","left",20.18,17.67,0.01,0.01,0,326.21,260.21,NA
"12",2022091110,291,40011,"Travis Kelce",80,"BEFORE_SNAP","2022-09-11 20:33:52.2",87,"KC","left",20.18,17.67,0.01,0.01,0,326.21,259.71,NA
"13",2022091110,291,40011,"Travis Kelce",81,"BEFORE_SNAP","2022-09-11 20:33:52.3",87,"KC","left",20.17,17.67,0.01,0.01,0,326.21,259.36,NA
"14",2022091110,291,40011,"Travis Kelce",82,"BEFORE_SNAP","2022-09-11 20:33:52.4",87,"KC","left",20.17,17.67,0,0.01,0,327.05,260.16,NA
"15",2022091110,291,40011,"Travis Kelce",83,"BEFORE_SNAP","2022-09-11 20:33:52.5",87,"KC","left",20.17,17.68,0,0,0.01,326.41,267.69,NA
"16",2022091110,291,40011,"Travis Kelce",84,"BEFORE_SNAP","2022-09-11 20:33:52.6",87,"KC","left",20.17,17.68,0,0,0.01,323.81,273,NA
"17",2022091110,291,40011,"Travis Kelce",85,"BEFORE_SNAP","2022-09-11 20:33:52.7",87,"KC","left",20.17,17.69,0,0,0.01,321.85,277.16,NA
"18",2022091110,291,40011,"Travis Kelce",86,"BEFORE_SNAP","2022-09-11 20:33:52.8",87,"KC","left",20.17,17.69,0,0,0.01,320.99,282.8,"man_in_motion"
"19",2022091110,291,40011,"Travis Kelce",87,"BEFORE_SNAP","2022-09-11 20:33:52.9",87,"KC","left",20.17,17.69,0,0,0,320.99,283.46,NA
"20",2022091110,291,40011,"Travis Kelce",88,"BEFORE_SNAP","2022-09-11 20:33:53",87,"KC","left",20.17,17.7,0,0,0,321.76,286.28,NA
"21",2022091110,291,40011,"Travis Kelce",89,"BEFORE_SNAP","2022-09-11 20:33:53.1",87,"KC","left",20.16,17.71,0,0,0.02,315.43,294.78,NA
"22",2022091110,291,40011,"Travis Kelce",90,"BEFORE_SNAP","2022-09-11 20:33:53.2",87,"KC","left",20.16,17.71,0,0,0,315.43,296.14,NA
"23",2022091110,291,40011,"Travis Kelce",91,"BEFORE_SNAP","2022-09-11 20:33:53.3",87,"KC","left",20.16,17.71,0,0,0,314.3,294.77,NA
"24",2022091110,291,40011,"Travis Kelce",92,"BEFORE_SNAP","2022-09-11 20:33:53.4",87,"KC","left",20.16,17.71,0,0,0,314.3,296.05,NA
"25",2022091110,291,40011,"Travis Kelce",93,"BEFORE_SNAP","2022-09-11 20:33:53.5",87,"KC","left",20.16,17.71,0,0,0,313.26,296.51,NA
